t_s,alt_m
16.645,2955.2127840000003
16.695,2958.66312
16.745,2962.6102800000003
16.795,2966.0636640000002
16.845,2969.517048
16.895,2972.476656
16.945,2975.9330879999998
16.995,2979.392568
17.045,2982.358272
17.095,2985.817752
17.145,2989.2772320000004
17.195,2992.245984
17.245,2995.708512
17.295,2998.6803120000004
17.345,3002.145888
17.395,3005.117688
17.445,3008.5863120000004
17.495,3011.56116
17.545,3014.536008
17.595,3017.510856
17.645,3020.488752
17.695,3023.960424
17.745,3026.9413680000002
17.795,3029.922312
17.845,3032.403384
17.895,3035.3843280000006
17.945,3038.365272
17.995,3041.3523120000004
18.045,3044.336304
18.095,3046.820424
18.145,3049.79832
18.195,3052.29768
18.245,3055.28472
18.295,3057.7840800000004
18.345,3060.2529600000003
18.395,3062.75232
18.445,3065.7393600000005
18.495,3068.23872
18.545,3070.73808
18.595,3073.23744
18.645,3075.21864
18.695,3078.2361600000004
18.745,3080.70504
18.795,3083.2044
18.845,3085.7037600000003
18.895,3088.20312
18.945,3090.2148
18.995,3092.7141600000004
19.045,3094.72584
19.095,3097.2252000000003
19.145,3099.2064
19.195,3101.7057600000003
19.245,3103.71744
19.295,3105.72912
19.345,3107.71032
19.395,3110.2401600000003
19.445,3112.2213600000005
19.495,3114.23304
19.545,3116.24472
19.595,3118.2564
19.645,3120.2376000000004
19.695,3121.7616000000003
19.745,3123.7732800000003
19.795,3125.75448
19.845,3127.7661600000006
19.895,3129.7778399999997
19.945,3131.7895200000003
19.995,3133.28304
20.045,3135.29472
20.095,3136.81872
20.145,3138.8304000000003
20.195,3140.3239200000003
20.245,3141.84792
20.295,3143.8596000000002
20.345,3145.35312
20.395,3146.8466399999998
20.445,3148.37064
20.495,3149.8641600000005
20.545,3151.3881600000004
20.595,3152.9121600000003
20.645,3154.4056800000003
20.695,3155.92968
20.745,3157.4232
20.795,3158.42904
20.845,3159.95304
20.895,3161.4465600000003
20.945,3162.97056
20.995,3164.46408
21.045,3165.5004000000004
21.095,3166.50624
21.145,3167.9997600000006
21.195,3169.0056
21.245,3170.0114399999998
21.295,3171.53544
21.345,3172.5412800000004
21.395,3173.54712
21.445,3174.5529600000004
21.495,3175.5588000000002
21.545,3176.56464
21.595,3177.60096
21.645,3178.6068
21.695,3179.61264
21.745,3180.61848
21.795,3181.62432
21.845,3182.1424800000004
21.895,3183.1483200000002
21.945,3184.1541600000005
21.995,3184.64184
22.045,3185.6476800000005
22.095,3186.16584
22.145,3187.1716800000004
22.195,3187.68984
22.245,3188.17752
22.295,3188.6956800000003
22.345,3189.70152
22.395,3190.21968
22.445,3190.7073600000003
22.495,3191.22552
22.545,3191.7132
22.595,3192.23136
22.645,3192.71904
22.695,3193.2372
22.745,3193.7553600000006
22.795,3193.7553600000006
22.845,3194.24304
22.895,3194.7612000000004
22.945,3195.24888
22.995,3195.24888
23.045,3195.7670399999997
23.095,3195.7670399999997
23.145,3195.7670399999997
23.195,3194.24304
23.245,3195.24888
23.295,3195.24888
23.345,3195.7670399999997
23.395,3195.7670399999997
23.445,3196.7728800000004
23.495,3196.7728800000004
23.545,3196.7728800000004
23.595,3196.7728800000004
23.645,3197.29104
23.695,3197.29104
23.745,3196.7728800000004
23.795,3196.7728800000004
23.845,3196.25472
23.895,3195.7670399999997
23.945,3195.24888
23.995,3194.24304
24.045,3194.24304
24.095,3193.7553600000006
24.145,3193.2372
24.195,3193.2372
24.245,3193.7553600000006
24.295,3194.24304
24.345,3194.7612000000004
24.395,3194.7612000000004
24.445,3194.7612000000004
24.495,3194.7612000000004
24.545,3194.24304
24.595,3193.7553600000006
